Recommended 3,,,,
Image #0,,,,
Detection Time,85.8665,,Keypoints,1351
Description Time,0.853881,,Matched Keypoints,0
,,,,
Image #1,,,,
Detection Time,88.4545,,Keypoints,1327
Description Time,0.811422,,Matched Keypoints,141
,,,,
Image #2,,,,
Detection Time,68.0145,,Keypoints,1311
Description Time,0.725452,,Matched Keypoints,134
,,,,
Image #3,,,,
Detection Time,70.1812,,Keypoints,1351
Description Time,0.652095,,Matched Keypoints,131
,,,,
Image #4,,,,
Detection Time,68.6733,,Keypoints,1360
Description Time,0.752453,,Matched Keypoints,130
,,,,
Image #5,,,,
Detection Time,70.2512,,Keypoints,1347
Description Time,0.775179,,Matched Keypoints,134
,,,,
Image #6,,,,
Detection Time,68.5145,,Keypoints,1363
Description Time,0.793698,,Matched Keypoints,146
,,,,
Image #7,,,,
Detection Time,68.7878,,Keypoints,1331
Description Time,0.736981,,Matched Keypoints,150
,,,,
Image #8,,,,
Detection Time,69.4588,,Keypoints,1358
Description Time,0.846065,,Matched Keypoints,148
,,,,
Image #9,,,,
Detection Time,67.8822,,Keypoints,1331
Description Time,0.774226,,Matched Keypoints,152
