Image #0
Detection Time,18.6072,,Keypoints,115
Description Time,0.257133,,Matched Keypoints,0

Image #1
Detection Time,19.2704,,Keypoints,98
Description Time,1.22125,,Matched Keypoints,14

Image #2
Detection Time,16.3143,,Keypoints,113
Description Time,0.411654,,Matched Keypoints,11

Image #3
Detection Time,12.6053,,Keypoints,121
Description Time,0.868728,,Matched Keypoints,15

Image #4
Detection Time,14.4934,,Keypoints,160
Description Time,0.832593,,Matched Keypoints,20

Image #5
Detection Time,25.3253,,Keypoints,383
Description Time,0.43571,,Matched Keypoints,24

Image #6
Detection Time,11.8558,,Keypoints,85
Description Time,0.889173,,Matched Keypoints,26

Image #7
Detection Time,16.2154,,Keypoints,210
Description Time,0.853078,,Matched Keypoints,16

Image #8
Detection Time,14.659,,Keypoints,171
Description Time,0.286217,,Matched Keypoints,24

Image #9
Detection Time,16.4164,,Keypoints,281
Description Time,0.828381,,Matched Keypoints,23

