Image #0
Detection Time,19.958,,Keypoints,1370
Description Time,3.66866,,Matched Keypoints,0

Image #1
Detection Time,17.0795,,Keypoints,1301
Description Time,6.83697,,Matched Keypoints,104

Image #2
Detection Time,14.2271,,Keypoints,1361
Description Time,3.55292,,Matched Keypoints,103

Image #3
Detection Time,12.6512,,Keypoints,1358
Description Time,3.56034,,Matched Keypoints,100

Image #4
Detection Time,16.7361,,Keypoints,1333
Description Time,3.74092,,Matched Keypoints,102

Image #5
Detection Time,13.5445,,Keypoints,1284
Description Time,3.54325,,Matched Keypoints,103

Image #6
Detection Time,12.7933,,Keypoints,1322
Description Time,3.39334,,Matched Keypoints,98

Image #7
Detection Time,14.8922,,Keypoints,1366
Description Time,3.54063,,Matched Keypoints,98

Image #8
Detection Time,13.6851,,Keypoints,1389
Description Time,3.52053,,Matched Keypoints,102

Image #9
Detection Time,13.8809,,Keypoints,1339
Description Time,3.66043,,Matched Keypoints,97

