Image #0
Detection Time,131.855,,Keypoints,1438
Description Time,98.0618,,Matched Keypoints,0

Image #1
Detection Time,127.094,,Keypoints,1371
Description Time,77.2484,,Matched Keypoints,82

Image #2
Detection Time,106.168,,Keypoints,1380
Description Time,75.9528,,Matched Keypoints,81

Image #3
Detection Time,113.409,,Keypoints,1335
Description Time,86.2147,,Matched Keypoints,85

Image #4
Detection Time,123.495,,Keypoints,1305
Description Time,78.2183,,Matched Keypoints,93

Image #5
Detection Time,109.204,,Keypoints,1369
Description Time,77.057,,Matched Keypoints,90

Image #6
Detection Time,130.483,,Keypoints,1396
Description Time,77.3465,,Matched Keypoints,81

Image #7
Detection Time,116.943,,Keypoints,1382
Description Time,76.5458,,Matched Keypoints,82

Image #8
Detection Time,105.863,,Keypoints,1463
Description Time,77.3137,,Matched Keypoints,102

Image #9
Detection Time,108.212,,Keypoints,1422
Description Time,78.8671,,Matched Keypoints,104

