Image #0
Detection Time,22.2518,,Keypoints,1370
Description Time,1.11335,,Matched Keypoints,0

Image #1
Detection Time,18.4084,,Keypoints,1301
Description Time,1.47626,,Matched Keypoints,115

Image #2
Detection Time,14.7055,,Keypoints,1361
Description Time,0.534925,,Matched Keypoints,111

Image #3
Detection Time,13.4648,,Keypoints,1358
Description Time,1.09529,,Matched Keypoints,104

Image #4
Detection Time,15.1165,,Keypoints,1333
Description Time,1.18163,,Matched Keypoints,101

Image #5
Detection Time,14.3914,,Keypoints,1284
Description Time,0.501793,,Matched Keypoints,102

Image #6
Detection Time,13.4551,,Keypoints,1322
Description Time,1.12885,,Matched Keypoints,102

Image #7
Detection Time,15.0857,,Keypoints,1366
Description Time,1.13776,,Matched Keypoints,100

Image #8
Detection Time,13.9762,,Keypoints,1389
Description Time,0.497675,,Matched Keypoints,109

Image #9
Detection Time,13.2185,,Keypoints,1339
Description Time,1.13215,,Matched Keypoints,100

