Image #0,,,,
Detection Time,1.42719,,Keypoints,1824
Description Time,3.99575,,Matched Keypoints,0
,,,,
Image #1,,,,
Detection Time,1.27336,,Keypoints,1832
Description Time,3.8366,,Matched Keypoints,122
,,,,
Image #2,,,,
Detection Time,1.28638,,Keypoints,1810
Description Time,6.00976,,Matched Keypoints,122
,,,,
Image #3,,,,
Detection Time,1.81986,,Keypoints,1817
Description Time,5.21839,,Matched Keypoints,115
,,,,
Image #4,,,,
Detection Time,1.54344,,Keypoints,1793
Description Time,3.61699,,Matched Keypoints,129
,,,,
Image #5,,,,
Detection Time,1.90833,,Keypoints,1796
Description Time,5.30257,,Matched Keypoints,107
,,,,
Image #6,,,,
Detection Time,1.24368,,Keypoints,1788
Description Time,3.63652,,Matched Keypoints,120
,,,,
Image #7,,,,
Detection Time,1.21252,,Keypoints,1695
Description Time,3.60094,,Matched Keypoints,126
,,,,
Image #8,,,,
Detection Time,1.23268,,Keypoints,1749
Description Time,3.46102,,Matched Keypoints,122
,,,,
Image #9,,,,
Detection Time,1.07046,,Keypoints,1770
Description Time,3.56251,,Matched Keypoints,118
,,,,
Average Det Time,1.40179,,Average Kpts:,1787.4
Average Desc Time,4.224105,,Average Matched Kpts,120.111111111111
Total Exec time (ms),5.625895,,,
