Image #0
Detection Time,17.4741,,Keypoints,115
Description Time,3.32771,,Matched Keypoints,0

Image #1
Detection Time,14.2967,,Keypoints,98
Description Time,4.19358,,Matched Keypoints,12

Image #2
Detection Time,14.183,,Keypoints,113
Description Time,3.45039,,Matched Keypoints,13

Image #3
Detection Time,13.1182,,Keypoints,121
Description Time,3.41648,,Matched Keypoints,16

Image #4
Detection Time,11.6561,,Keypoints,160
Description Time,3.43234,,Matched Keypoints,18

Image #5
Detection Time,22.8294,,Keypoints,383
Description Time,3.44549,,Matched Keypoints,24

Image #6
Detection Time,10.8377,,Keypoints,85
Description Time,3.41012,,Matched Keypoints,18

Image #7
Detection Time,13.2732,,Keypoints,210
Description Time,3.56158,,Matched Keypoints,15

Image #8
Detection Time,12.1958,,Keypoints,171
Description Time,3.42803,,Matched Keypoints,24

Image #9
Detection Time,18.5996,,Keypoints,281
Description Time,3.67271,,Matched Keypoints,20

