Image #0
Detection Time,17.9765,,Keypoints,115
Description Time,42.5562,,Matched Keypoints,0

Image #1
Detection Time,17.5575,,Keypoints,98
Description Time,40.9674,,Matched Keypoints,13

Image #2
Detection Time,13.8193,,Keypoints,113
Description Time,36.1588,,Matched Keypoints,13

Image #3
Detection Time,12.0816,,Keypoints,121
Description Time,35.3458,,Matched Keypoints,15

Image #4
Detection Time,12.1673,,Keypoints,160
Description Time,35.6209,,Matched Keypoints,15

Image #5
Detection Time,22.8998,,Keypoints,383
Description Time,34.6135,,Matched Keypoints,17

Image #6
Detection Time,11.2895,,Keypoints,85
Description Time,34.8558,,Matched Keypoints,20

Image #7
Detection Time,12.8416,,Keypoints,210
Description Time,34.508,,Matched Keypoints,14

Image #8
Detection Time,11.8992,,Keypoints,171
Description Time,34.6898,,Matched Keypoints,21

Image #9
Detection Time,15.8519,,Keypoints,281
Description Time,34.1957,,Matched Keypoints,18

