Image #0
Detection Time,38.5657,,Keypoints,2757
Description Time,13.0282,,Matched Keypoints,0

Image #1
Detection Time,36.8403,,Keypoints,2777
Description Time,12.3084,,Matched Keypoints,160

Image #2
Detection Time,37.4622,,Keypoints,2741
Description Time,12.2914,,Matched Keypoints,171

Image #3
Detection Time,36.6483,,Keypoints,2735
Description Time,12.3878,,Matched Keypoints,157

Image #4
Detection Time,37.2022,,Keypoints,2757
Description Time,12.2471,,Matched Keypoints,170

Image #5
Detection Time,36.2954,,Keypoints,2695
Description Time,12.222,,Matched Keypoints,154

Image #6
Detection Time,36.814,,Keypoints,2715
Description Time,12.3218,,Matched Keypoints,180

Image #7
Detection Time,35.5351,,Keypoints,2628
Description Time,12.2898,,Matched Keypoints,171

Image #8
Detection Time,38.4896,,Keypoints,2639
Description Time,13.6887,,Matched Keypoints,175

Image #9
Detection Time,36.3415,,Keypoints,2672
Description Time,12.342,,Matched Keypoints,172

